epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,139553,0.84672,0.56128,0.99766,0.83372,0.70036,0.7704,0.58845,0.92039,0.55442,0.98943,0.0004456,0.0004456,0.0004456
35,148243,0.82563,0.54037,0.98883,0.83376,0.70223,0.77083,0.58911,0.91909,0.55128,0.98894,0.0003268,0.0003268,0.0003268
30,144141,0.84543,0.55841,0.99598,0.83309,0.7008,0.77042,0.58866,0.91991,0.55378,0.98911,0.0004258,0.0004258,0.0004258
36,152850,0.82519,0.53983,0.98743,0.83467,0.70147,0.77089,0.58904,0.91907,0.55113,0.98896,0.000307,0.000307,0.000307
31,148788,0.84205,0.55418,0.99428,0.83373,0.7006,0.77056,0.5888,0.91961,0.55311,0.98892,0.000406,0.000406,0.000406
37,157453,0.81859,0.53349,0.98401,0.83271,0.70336,0.771,0.58927,0.91894,0.55051,0.98883,0.0002872,0.0002872,0.0002872
32,153232,0.83755,0.55078,0.99229,0.83318,0.70142,0.77065,0.58887,0.91934,0.55237,0.98866,0.0003862,0.0003862,0.0003862
38,161937,0.81559,0.52964,0.98113,0.83094,0.70453,0.77097,0.5894,0.91907,0.55013,0.98862,0.0002674,0.0002674,0.0002674
33,157623,0.83637,0.54937,0.99202,0.83222,0.70263,0.77077,0.58901,0.91922,0.55206,0.98858,0.0003664,0.0003664,0.0003664
39,166463,0.81432,0.52945,0.9824,0.82675,0.70756,0.77099,0.58938,0.91912,0.55015,0.98866,0.0002476,0.0002476,0.0002476
34,162269,0.83339,0.54556,0.99251,0.83608,0.70046,0.77094,0.589,0.91914,0.55181,0.98879,0.0003466,0.0003466,0.0003466
40,171270,0.81023,0.52323,0.97768,0.82681,0.70767,0.77102,0.58945,0.9192,0.55006,0.98852,0.0002278,0.0002278,0.0002278
35,166773,0.82563,0.54037,0.98883,0.83376,0.70223,0.77083,0.58911,0.91909,0.55128,0.98894,0.0003268,0.0003268,0.0003268
41,175583,0.7479,0.45112,0.93969,0.82702,0.7072,0.77091,0.5895,0.91928,0.54987,0.98827,0.000208,0.000208,0.000208
36,171011,0.82519,0.53983,0.98743,0.83467,0.70147,0.77089,0.58904,0.91907,0.55113,0.98896,0.000307,0.000307,0.000307
42,179792,0.74119,0.4452,0.93834,0.82797,0.70667,0.77091,0.58953,0.91911,0.54957,0.98813,0.0001882,0.0001882,0.0001882
37,175116,0.81859,0.53349,0.98401,0.83271,0.70336,0.771,0.58927,0.91894,0.55051,0.98883,0.0002872,0.0002872,0.0002872
43,183928,0.73704,0.44155,0.93861,0.82677,0.70734,0.77104,0.58944,0.91909,0.54942,0.98812,0.0001684,0.0001684,0.0001684
38,179367,0.81559,0.52964,0.98113,0.83094,0.70453,0.77097,0.5894,0.91907,0.55013,0.98862,0.0002674,0.0002674,0.0002674
44,188101,0.73331,0.43736,0.93672,0.82718,0.70717,0.77115,0.58945,0.91915,0.54927,0.98817,0.0001486,0.0001486,0.0001486
39,183579,0.81432,0.52945,0.9824,0.82675,0.70756,0.77099,0.58938,0.91912,0.55015,0.98866,0.0002476,0.0002476,0.0002476
45,192383,0.72909,0.43304,0.93184,0.82789,0.70606,0.77103,0.58932,0.9192,0.54922,0.98795,0.0001288,0.0001288,0.0001288
40,187860,0.81023,0.52323,0.97768,0.82681,0.70767,0.77102,0.58945,0.9192,0.55006,0.98852,0.0002278,0.0002278,0.0002278
46,196327,0.72694,0.43008,0.93118,0.82746,0.70663,0.7709,0.58935,0.91939,0.54972,0.98786,0.000109,0.000109,0.000109
41,191626,0.7479,0.45112,0.93969,0.82702,0.7072,0.77091,0.5895,0.91928,0.54987,0.98827,0.000208,0.000208,0.000208
47,200224,0.72196,0.42611,0.93133,0.82778,0.70652,0.77062,0.58925,0.91967,0.55011,0.98792,8.92e-05,8.92e-05,8.92e-05
42,195517,0.74119,0.4452,0.93834,0.82797,0.70667,0.77091,0.58953,0.91911,0.54957,0.98813,0.0001882,0.0001882,0.0001882
48,204111,0.7201,0.42419,0.93017,0.82677,0.70657,0.77043,0.58912,0.9199,0.55044,0.98809,6.94e-05,6.94e-05,6.94e-05
43,199358,0.73704,0.44155,0.93861,0.82677,0.70734,0.77104,0.58944,0.91909,0.54942,0.98812,0.0001684,0.0001684,0.0001684
49,208219,0.71804,0.42167,0.92946,0.8257,0.70727,0.76996,0.58888,0.92016,0.55061,0.98834,4.96e-05,4.96e-05,4.96e-05
44,203266,0.73331,0.43736,0.93672,0.82718,0.70717,0.77115,0.58945,0.91915,0.54927,0.98817,0.0001486,0.0001486,0.0001486
50,212135,0.71554,0.41863,0.92929,0.82452,0.70779,0.76962,0.58884,0.92041,0.55102,0.98866,2.98e-05,2.98e-05,2.98e-05
45,206619,0.72909,0.43304,0.93184,0.82789,0.70606,0.77103,0.58932,0.9192,0.54922,0.98795,0.0001288,0.0001288,0.0001288
46,207922,0.72694,0.43008,0.93118,0.82746,0.70663,0.7709,0.58935,0.91939,0.54972,0.98786,0.000109,0.000109,0.000109
47,209225,0.72196,0.42611,0.93133,0.82778,0.70652,0.77062,0.58925,0.91967,0.55011,0.98792,8.92e-05,8.92e-05,8.92e-05
48,210529,0.7201,0.42419,0.93017,0.82677,0.70657,0.77043,0.58912,0.9199,0.55044,0.98809,6.94e-05,6.94e-05,6.94e-05
49,211832,0.71804,0.42167,0.92946,0.8257,0.70727,0.76996,0.58888,0.92016,0.55061,0.98834,4.96e-05,4.96e-05,4.96e-05
50,213135,0.71554,0.41863,0.92929,0.82452,0.70779,0.76962,0.58884,0.92041,0.55102,0.98866,2.98e-05,2.98e-05,2.98e-05
